"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"12284","PHIP",2441,1407,1738,1354,2888,3751,983,1194,2341,2018,1086,1891
"12285","PHKA1",3,0,3,1,8,1,1,0,3,2,0,2
"12286","PHKA2",1930,1737,1122,1170,1192,1638,1084,1977,1283,1571,1650,1782
"12287","PHKB",1783.81,1084.04,1090.09,949,1387.17,1056.3,701.74,849.79,1556.59,1659.04,810.13,1230.22
"12288","PHKG1",16.98,8.15,25.38,13.84,10.97,14.2,21.08,15.38,22.82,27.42,32.96,22.37
"12289","PHKG2",1376.6,951.09,981.44,1346.72,665.14,552.91,2155.88,1788.19,1102.54,1593.13,2193.66,1749.75
"12290","PHLDA1",116.7,143.13,39.77,72.35,53.96,30.81,54.65,84.11,69.9,82.23,24.25,47.82
"12291","PHLDA2",5,1,4,0,0,0,1,1,1,0,4,1
"12292","PHLDA3",10,27.1,22.06,4.04,13.03,5.04,20.13,13.01,19.02,26.49,27.83,1
"12293","PHLDB1",6,3.92,3,5,9,1,3.88,7.72,28,3,7.77,9
"12294","PHLDB2",77,21,84,106,43,8,31,42,71,41,22,79
"12295","PHLDB3",18,21,37,76,15,8,71,41,77,34,41,56
"12296","PHLPP1",549,202,194,185,295,207,152,346,212,295,160,333
"12297","PHLPP2",176.08,38.09,112.03,121,106.05,94.11,54.1,35.16,230,124.05,47.92,109.02
"12298","PHOSPHO1",3971,1163,1060,5792,4064,2717,5798,966,3497,4296,4458,5965
"12299","PHOSPHO2",9.35,3,6,11,12,9,10,13,31,10,8,7
"12300","PHOSPHO2-KLHL23",18.01,0,0,0,0,0,0,0,0,0,0,0
"12301","PHOX2A",0,0,0,0,0,0,0,0,0,0,0,0
"12302","PHOX2B",0,0,0,0,0,0,0,0,0,0,0,0
"12303","PHPT1",407,360,418,438,146,159,637,592,508,561,824,435
"12304","PHRF1",488,322,278,435,286,158,453,316,641,570,812,554
"12305","PHTF1",663,492,583,321,407,421,308,1358,568,630,703,472
"12306","PHTF2",1127,566,503,617,635,399,520,448,937,896,573,597
"12307","PHYH",147,71,121,122,80,37,152,115,193,178,137,183
"12308","PHYHD1",5.82,5.37,11.73,23.84,11.33,12.38,16.46,14.59,34.19,12.19,14.3,25.53
"12309","PHYHIP",0,0,0,0,0,0,0,0,0,0,0,0
"12310","PHYHIPL",0,0,0,0,0,0,0,0,0,0,0,0
"12311","PHYKPL",1666,1737,1439,1352,1046,985,1093,1170,1676,2074,1938,1710
"12312","PI15",0,0,0,0,1,1,0,0,0,0,0,0
