"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"1","A1BG",15.69,24.1,25.39,47.52,23.19,11.3,74.21,28.05,32.17,49.99,63.2,51
"2","A1CF",0,0,0,0,0,0,0,0,0,0.85,0,0
"3","A2M",13.01,3,13,3,10,5,4,1,4,4,3,25
"4","A2ML1",0,0,3.33,2.05,0,2,0,1,0,0,1.02,0
"5","A3GALT2",0,3,0,1,2,2,0,0,0,0,0,1
"6","A4GALT",0,0,0,0,0,0,0,0,0,0,0,0
"7","A4GNT",0,1,0,2,0,0,0,0,2,0,0,0
"8","AAAS",753,543,557,765,341,412,784,695,889,781,913,934
"9","AACS",157,115,157,247,119,88,209,107,246,256,133,222
"10","AADAC",0,0,0,0,0,0,0,0,0,0,0,0
"11","AADACL2",0,0,0,0,0,1,0,0,1,0,0,0
"12","AADACL3",0,0,0,0,0,1,0,0,0,0,0,0
"13","AADACL4",0,0,0,0,0,0,0,0,0,0,0,0
"14","AADAT",0,0,0,0,0,1.83,0,0,0,0,0,1
"15","AAGAB",1291,1133,1121,1101,794,527,910,865,1246,1347,860,878
"16","AAK1",1072.28,640.01,738.43,1002.74,842.05,591.53,987.16,740.92,1399.54,782.71,544.47,909.72
"17","AAMDC",170.46,137.04,94,136,59,41,231,228,115,147,177,135
"18","AAMP",1967,1306,1197,1597,1016,695,1745,1166,2078,2258,2221,2056
"19","AANAT",6,1,26,4,5,3,11,61,9,24,53,6
"20","AAR2",969,629,546,679,449,308,743,558,986,908,648,728
"21","AARD",6.08,4.03,13.36,1.82,4.19,1.78,3.4,5.27,5.18,3.24,1.42,7.51
"22","AARS1",990,473,755,748,568,340,800,478,1393,787,733,876
"23","AARS2",254.31,115.12,206.51,261.99,147.59,83.58,213.11,144.48,466.49,226.82,240.03,281.86
"24","AARSD1",358.82,172,240.51,397.21,161.66,120,535,373,444.42,393.58,476.66,433.13
"25","AASDH",382,199,284,322.94,288,185,250,216,409,336,168,349
"26","AASDHPPT",726,462,519,636,596,335,314,283,868,742,315,559
"27","AASS",12.99,9.03,53.1,49.87,57.33,25.79,39.57,21.61,15.5,21.14,17.27,22.75
"28","AATF",2137,1352,1122,1450,1072,946,1818,1732,1976,2174,1971,1983
"29","AATK",629.19,848.82,549.64,605.35,377.93,561,590.54,602.86,363.36,835.8,1809.13,817.66
"30","ABAT",961,915,428,395,585,1238,194,223,491,663,227,592
"31","ABCA1",4273,1994,1478,586,3506,4157,213,510,1128,1065,817,1391
"32","ABCA10",37,22,29,26,24,41,32,12,58,18,22,45
"33","ABCA12",0,0,0,0,0,0,0,0,0,0,0,0
"34","ABCA13",518.49,136.91,169.17,15.98,157.02,148.06,11.27,3.92,48.06,45.05,3.03,25.84
"35","ABCA2",1640,674,1609,1003,553,536,612,1069,1170,1210,2485,1126
"36","ABCA3",85,33,106,93,30,32,63,97,110,60,86,71
"37","ABCA4",0,0,0,2,1,0,4,3,0,0,0,2
"38","ABCA5",398.06,197,305.03,379,292.55,425.1,277,161.89,581,216.2,118.01,350.92
"39","ABCA6",6,5,4,6,12,60,11,2,344,12,1,19
"40","ABCA7",3078,2475,4222,4584,2765,3240,3871,3319,3395,6111,7176,6398
"41","ABCA8",0,0,0,0,0,0,0,0,0,0,0,0
"42","ABCA9",21.2,13.9,20.05,25.02,17.98,43.1,21.31,26.52,105.19,20.71,9.99,23.62
"43","ABCB1",269,50.98,221.98,372.91,102,58,92.75,83,273,170.78,60.33,225.68
"44","ABCB10",951,575,506,542,551,393,282,337,855,676,332,582
"45","ABCB11",26.04,21.62,28.3,21.7,22.69,12.99,27.06,14.02,16.91,21.61,10.03,32.86
"46","ABCB4",10,1.02,2.02,29.09,18,14,22.25,5,119,38.22,25.67,82.32
"47","ABCB5",4,1.27,2.99,7.33,6.73,4.04,6.66,8.35,5.35,2.01,0,2.85
"48","ABCB6",182,66,128,123,101,76,151,77,114,91,97,119
"49","ABCB7",622.01,349.35,371.23,505.54,370.4,320.53,502.22,406.17,628.16,551.28,400.94,642.76
"50","ABCB8",176,199,190,256,90,52,245,244,330,266,552,277
"51","ABCB9",24,12,24,28,26,5,32,26,20,8,18,22
"52","ABCC1",1289,742,643,874,1005,714,816,629,1548,1372,425,1080
"53","ABCC10",365.84,345,447,354,264,181,305,352,555.95,466,464,431
"54","ABCC11",9,6,1,1,0,5,0,0,4,1,2.95,1
"55","ABCC12",0,0,0,0,0,0,0,0,0,0,0,0
"56","ABCC2",200,187,102,92,122,234,50,37,108,101,64,152
"57","ABCC3",1478,186,502,331,439,404,675,461,779,697,465,396
"58","ABCC4",459,208,369,379,845,172,135,270,310,542,163,177
"59","ABCC5",1058,827,692,1215,1540,1995,844,467,912,789,435,1565
"60","ABCC6",94,114,174,76,86,110,59,31,42,123,55,183
"61","ABCC8",0,0,0,0,0,0,0,0,3,0,0,0
"62","ABCC9",291.37,235.05,254.67,327.56,335.49,369.96,298.9,317.94,417.48,249.08,248.64,376.59
"63","ABCD1",411,331,329,222,145,128,277,319,283,504,782,424
"64","ABCD2",104,102,77,264,184,85,104,75,468,180,52,158
"65","ABCD3",764.16,501.08,413.01,307.01,466,321.83,244,345.15,623.04,635.16,353,541
"66","ABCD4",594,501,664,906,394,290,957,655,965,863,847,836
"67","ABCE1",788,479,485,835,866,548,356,260,1544,867,336,869
"68","ABCF1",1355,884,1058,1262,804,456,1432,1057,1662,1476,1465,1419
"69","ABCF2",731.18,429.85,499.47,615.62,301.61,297.65,568.99,351.42,730.74,621.04,407.56,693.35
"70","ABCF2-H2BE1",321.83,176.48,222.28,243.21,258.3,177.35,221.61,96.58,512.25,326.6,232.66,359.87
"71","ABCF3",963.56,805.55,827.99,1097.15,559.33,447.54,1187.97,873.79,1266.44,1269.09,1259.46,1161.23
"72","ABCG1",1443,1708,602,649,983,660,203,369,521,746,499,947
"73","ABCG2",6,11,29.97,17,28,6,6,12,14,8,0,11.16
"74","ABCG4",0,0,0,0,0,0,0,2,0,0,0,0
"75","ABCG5",0,1,0,0,0,0,0,0,0,0,0,0
"76","ABCG8",1.97,3.78,4.03,1,3.28,3.79,0,0,2.26,4.06,0,0
"77","ABHD1",2,3,4,8,2,2,5.01,1,14.01,7,2,3
"78","ABHD10",814,472,529,663,381,191,797,728,787,915,665,747
"79","ABHD11",245.6,186.13,186.27,250,138.52,104.28,387.04,359.01,247.3,295.09,629.35,340.51
"80","ABHD12",382,230,353,318,221,157,483,411,337,461,505,417
"81","ABHD12B",22,14,7,8,13,31,1,1,14,16.98,2,13
"82","ABHD13",1408,1207,893,970,1411,1406,521,776,1281,1430,700,1260
"83","ABHD14A",122,96,187,188,69,37,326,178,251.88,133,242,194
"84","ABHD14A-ACY1",0,0,0,0,0,0,0,0,11.85,0,0,0
"85","ABHD14B",957,592,707,1528,461,338,1902,1136,1579,1142,1533,1250
"86","ABHD15",389.29,231.83,339.63,414.8,308.39,121.14,313.28,244.42,476.35,415.71,290.38,522.04
"87","ABHD16A",2024,1792,2092,1700,1233,1319,1290,1631,1659,2571,2641,1888
"88","ABHD16B",5,5,7,6,1,0,3,6,6,3,43,9
"89","ABHD17A",287,399,481,498,139,106,507,460,438,487,1454,557
"90","ABHD17B",425.11,332.04,300,386.01,384,299.87,223,214.28,432.63,402,215.31,397.96
"91","ABHD17C",95,65,90,54,55,26,62,117,55,62,40,43
"92","ABHD18",479.78,373.76,373.34,352.69,472.81,482.31,301.29,304.48,545.74,482.26,262.3,406.99
"93","ABHD2",9106.36,8298.57,2785.36,6328.54,9548.49,8270.85,2993.37,4409.85,5702.65,7094.95,3573.53,6504.26
"94","ABHD3",3471,3152,2282,2284,3811,3756,852,1116,2614,4924,1739,2905
"95","ABHD4",2828,1307,1255,1370,1436,1683,900,845.23,1236,1743,1060.17,1423
"96","ABHD5",3706,3084,1862,2542,4433,4043,1272,1597,1486,2585,1371,2852
"97","ABHD6",257,101,146,149,89,75,106,76,158,200,90,122
"98","ABHD8",99,56,92,89,44,40,140,83,54,105,275,102
"99","ABI1",4049.75,3070.65,2454.75,2566.88,3190.79,3006.81,1237.67,2029,3524.89,3707.65,1840.9,2942.8
"100","ABI2",320.25,111.3,249.4,335.29,332.49,204.81,191.47,141.26,476.64,226.14,117.6,283.27
"101","ABI3",1848.43,459.12,1098,836.16,409,324,1611.15,1987.26,910,1457.2,2054.75,978.18
"102","ABI3BP",1,0,1,3,3,5,4,2,11,0,1,2
"103","ABITRAM",614,491,345,339,353,412,226,232,439,540,290,321
"104","ABL1",437,200,276,273,278,177,208,112,441,362,230,365
"105","ABL2",574.81,276.48,348.26,246.67,384.42,303.55,240,307.16,406.11,308.07,274.27,264.54
"106","ABLIM1",659.04,546.15,387.98,1965.46,1107.92,477.41,1563.33,395.06,3413.99,989.52,648.2,1488.01
"107","ABLIM2",10,7,3,17,5,7,26,9,20,13,13,19
"108","ABLIM3",1615,311,553,503,515,417,624,472,526,681,275,247
"109","ABO",126.79,95.04,48.01,166.16,54.16,1,55.49,25.36,47.05,76.13,41.05,168.43
"110","ABR",4257.52,2871.2,2772.83,2639,2770.65,3733.83,2330.28,1711.77,3391.22,4229.62,3897.88,3832.2
"111","ABRA",0,0,3,2,0,1,1,4,3,1,2,2
"112","ABRACL",1946,1799,1361,1582,949,314,1324,1071,1480,1894,1513,1056
"113","ABRAXAS1",266.93,148.41,192.19,251.25,236.94,159.87,121.43,126.02,480.03,279.35,164.67,316.85
"114","ABRAXAS2",515,300,361,372,384,255,235,209,493,476,215,368
"115","ABT1",750,747,674,1005,424,338,874,547,1049,950,938,833
"116","ABTB1",11433,13938,5900,12046,7014,9473,15117,19470,7569,15813,28981,15775
"117","ABTB2",72,147,154,104,112,31,86,41,109,131,31,58
"118","ACAA1",6577.38,7150.68,3841.49,3889.09,2846.81,3334.2,4907.41,6470.47,3752.09,7409.38,9516.58,5149.15
"119","ACAA2",2184.36,1271.82,1177.6,1184.26,934.26,575.17,918.32,1073.06,1424.49,1467.36,1160.99,861.56
"120","ACACA",404.27,149,176.74,137,235,115.16,116,144,317.01,257,135,187
"121","ACACB",146.1,140.85,87.05,296.71,179.6,227.14,318.83,128.4,418,251.51,128.09,316.06
"122","ACAD10",551,327,364,418,350,359,333,254,630,534,447,535
"123","ACAD11",240.01,186.88,253.8,281.9,220.64,241.9,257,100,555.76,275.91,122.52,403
"124","ACAD8",684,490,489,622,480,307,355,401,591,543,317,543
"125","ACAD9",588.38,357.04,389.69,386.72,248,185,446.93,356.9,546,541.01,428.2,485.75
"126","ACADL",0,0,0,1,0,0,0,0,0,0,0,0
"127","ACADM",721,545,560,547,581,408,156,231,926,633,181,556
"128","ACADS",125,142,133,134,48,26,221,225,164,206,446,164
"129","ACADSB",378.53,269.61,232.69,461.75,361.98,295.22,280.02,175.64,629.84,395.52,190.23,450.92
"130","ACADVL",6740,4654.47,4665.44,4939.44,4872,3524.66,6146,5534.69,4892.62,7475.98,5980.7,5863.19
"131","ACAN",0,0,0,0,1,0,0,0,6,4,0,4
"132","ACAP1",3793,4784,3343,4958,2029,2142,6116,6689,5027,5228,9368,5447
"133","ACAP2",7261.05,4466.56,3025.45,3648.59,7068.82,8930.05,1691.37,2423.63,4623.4,5624.49,2680.47,4949.88
"134","ACAP3",477,464,416,545,268,268,849,539,519,598,835,789
"135","ACAT1",758,516,535,449,346,251,420,569,751,616,586,505
"136","ACAT2",583.73,508.94,403.91,531.57,329.16,201.52,448.67,382.28,627.64,551.95,346.37,429.76
"137","ACBD3",923,557,589,611,834,665,357,469,1015,860,414,794
"138","ACBD4",186.9,157.54,188.62,345.7,118.65,76.73,451.8,182.17,460.72,248.82,383.78,387.85
"139","ACBD5",935.16,633.39,603.58,537.8,769.89,648.39,209.37,338.88,672.53,742.06,324.64,537.69
"140","ACBD6",318,168,140,252,146,93,326,175,350,237,252,291
"141","ACBD7",48.81,25.57,37.99,24.1,42.99,64.91,33.29,50.48,33.33,16.03,37.89,45.43
"142","ACCS",192,145,162,189,90,393,412,105,772,884,303,324
"143","ACCSL",3,2,0,0,2,4,0,2,2,5,1,1
"144","ACD",286,240,216,374,143,129,454,277,336,359,600,364
"145","ACE",27,16,14,34,12,16,18,19,81,46,73,33
"146","ACE2",1,0,1,0,0,1,0,0,0,0,0,0
"147","ACER1",3.33,4.64,7.44,22.15,7.87,10.71,16.06,6.87,9.14,11.4,16.98,22.88
"148","ACER2",28,7,8,10,25,16,6,1,28,12,4,5
"149","ACER3",1128.75,1350.68,808.05,524.13,629.95,673.73,649.92,1043.2,564.24,1015.8,766.03,751.96
"150","ACHE",1,2,2,1,2,2,4,3,4,0,1,0
"151","ACIN1",5731,4052,4077,4148,3980,4132,4437,4088,5420,5142,5158,5669.46
"152","ACKR1",0,2,10,10,8,17,9,4,28,8,0,0
"153","ACKR2",0.23,3.08,3.81,3.03,13.21,11.16,13.1,13.58,7.58,3.7,5,3.44
"154","ACKR3",65,30,59,138,39,33,44,66,91,55,23,50
"155","ACKR4",10,2,1,4,2,2,0,0,8,3,1,3
"156","ACLY",2780.27,1768.24,1830.96,1721,1939.08,1543.91,999.81,1020,2643.94,2396.48,1201.07,1827.62
"157","ACMSD",0,0,1,1,0,0,0,0,0,0,0,0
"158","ACO1",178.74,67,154.94,165.78,155.71,185.89,117.42,124.01,277.26,254.02,100.01,177.99
"159","ACO2",1618.15,927.1,1024.34,973.5,655.69,567.1,1076.42,921.57,1505.82,1663.56,1701.28,1323.64
"160","ACOD1",6,12,9,2,2,4,0,4,5,13,9,0
"161","ACOT1",14.83,12.72,16.22,16.4,21.01,5.01,0,5.4,1.67,28.04,16.13,23.51
"162","ACOT11",309.84,162.61,223.19,231.11,173.26,213.95,161.64,181.76,299.14,349.07,224.06,217.86
"163","ACOT12",2,0,0,0,4,0,0,0,2,1,0,0
"164","ACOT13",810.12,504.68,560.06,522.49,488.47,545.91,361.64,570.23,634.91,639.58,597.58,539.49
"165","ACOT2",184.17,98.28,141.78,134.6,68.99,46.99,167,132.6,206.33,129.96,158.87,116.49
"166","ACOT4",28.22,9.09,39.98,41.39,17.84,10.88,14.03,14.57,28.01,35.81,22.29,26.71
"167","ACOT6",0,0,0,0,1,0,0,1,2,0,0,0
"168","ACOT7",76,75,91,82,41,15,94,63,112,99,157,61
"169","ACOT8",345.54,358.4,354.77,329.43,163.97,162.85,460.82,655.22,340.37,582.12,880.17,344.89
"170","ACOT9",2043.9,1767.6,2010.52,1017.39,1269.06,1221.37,1323.13,1929,1686.26,2344.22,1860.61,1614.51
"171","ACOX1",5132.12,3753.41,2539.53,2672.9,4225.35,2554.14,2340.89,3211.78,2545.81,3170.44,2859.08,2975.23
"172","ACOX2",52,17,21,0,4,6,8,24,9,12,23,4
"173","ACOX3",225,132,103,138,86,111,146,184,149,183,173,155
"174","ACOXL",31.01,9,22,12.01,22,3,6,3,16,11,22,4.52
"175","ACP1",1388,898,1067,1342,1041,643,830,564,1768,1285,784,1254
"176","ACP2",777,353,559,326,168,148,478,955,480,721,1434,372
"177","ACP3",1007.02,802,465,355,378,713.01,324,567,446,914,502.08,914.05
"178","ACP4",0,0,0,0,0,0,0,0,0,0,0,0
"179","ACP5",373,475,365,674,394,263,705,580,761,1183,2016,825
"180","ACP6",184.02,182.44,188.35,279.56,113.29,90.92,253.25,216.48,267.12,210.04,171.59,217.95
"181","ACP7",4.94,1.27,8.44,2.03,1.01,7.01,2,3.18,3,5.2,3.27,4.87
"182","ACR",0,1,1,0,0,0,2,2,2,7,0,0
"183","ACRBP",1670,371,849,493,595,442,1072,1045,488,697,799,401
"184","ACRV1",0,0,4,1,1,0,1,0,0,2,0,0
"185","ACSBG1",54.42,6.74,11.89,57.94,4.61,9.62,39.56,14.45,41.59,29.41,22.05,34.21
"186","ACSBG2",0,1,2,2,1,0,0,3,1,0,1,1
"187","ACSF2",315,287,291,419,243,116,624,570,579,541,419,358
"188","ACSF3",438,382,326,420,191,122,522,408,526,625,730,518
"189","ACSL1",37291,32712,31928,18671,26446,55517,9003,31228,21256,41799,18952,20698
"190","ACSL3",1122,827,814,605,773,695,336,551,971,1212,541,818
"191","ACSL4",4192,4520,2917,2435,4197,5023,1037,3032,3241,5594,2109,2895
"192","ACSL5",1624.92,1659.97,1533.87,1174.96,1258.93,770.89,1159,1881.92,2142.96,1939.96,1568.92,1490.96
"193","ACSL6",99.7,103.36,61.82,277.06,328.3,105.2,204.39,68.89,530.37,162.37,104.16,208.04
"194","ACSM1",19,8,7,5,8,5,29,5,18,8,16,12
"195","ACSM2A",6,0,0,0,1,4,3,4,2,5,0,6
"196","ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0
"197","ACSM3",49.48,46.84,25.99,116.65,68.36,25.09,71.15,22.21,138.67,70.64,53.14,80.71
"198","ACSM4",1,1,0,0,0,0,2,3,1,1,2,2
"199","ACSM5",0,0,0,0,0,3,0,0,0,1,3,1
"200","ACSM6",0,0,2.01,0,1,0,0,0,0,0,0,0
"201","ACSS1",1381,1131,1385,1680,1045,668,1998,1142,2400,2015,1505,2041
"202","ACSS2",1941,1145,1003,884,910,1086,1111,1363,1184,1691,1482,1385
"203","ACSS3",5.35,12,4.01,9,4,35,8,0,5,16,6,4
"204","ACTA1",0,1,1,0,0,0,0,1,1,0,1,1
"205","ACTA2",164.01,227.06,375,191.01,141,183,72.02,460.25,191,283.02,253.13,149
"206","ACTB",226627.12,220163.29,130441.53,175588.3,108127.02,91749.03,241984.41,304493.81,159091.86,282492.68,298074.32,187049.31
"207","ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0
"208","ACTC1",0,0,0,0,0,0,0,0,0,0,0,0
"209","ACTG1",52689.87,46723.7,28849.47,37987.6,22596.97,14301.97,43827.58,48430.18,34875.13,46351.5,47513.67,34229.68
"210","ACTG2",9,15,1,3,0,3,4,0,2,0,2,6
"211","ACTL10",20,14,22,20,2,2,33,32,20,15,25,14
"212","ACTL6A",581.36,440,399.39,542,416.47,279.52,305,143.16,815,555,280.2,496.81
"213","ACTL6B",0,0,0,0,0,0,0,0,0,0,0,0
"214","ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0
"215","ACTL7B",0,0,0,0,0,0,0,1,0,0,2,0
"216","ACTL8",0,0,1,0,0,0,0,0,0,0,0,0
"217","ACTL9",0,0,0,0,0,0,0,0,0,0,0,0
"218","ACTN1",9492.8,6700.55,4905.88,5760,6598.97,9102.86,3987,5540.78,7305.5,10577.71,5895.3,7226.49
"219","ACTN2",0,0,0,0,0,0,0,1,0,0,2,1
"220","ACTN3",4,2,5,2,0,0,0,6,0,4,0,2
"221","ACTN4",4223.37,2693.66,2622.16,2440.14,2410.75,2932.38,1950.78,2114.07,2748.22,4032.17,4312.91,3357.47
"222","ACTR10",1674.08,1347.51,1251.96,1453.46,1221,1093.27,1008.77,1523.79,1359.01,1834.14,1170.6,1424.24
"223","ACTR1A",5402,3937,3305,3805,2704,2060,3733,5527,3451,5363,5388,3941
"224","ACTR1B",1111,902,911,1566,622,484,1338,720,1648,1340,1370,1552
"225","ACTR2",18393,14007,7949,10717,17632,17812,4771,8691,14307,18632,7505,12660
"226","ACTR3",17056,16019,10018,12256,14656,13800,6346,12028,14521,20671,10580,14641
"227","ACTR3B",182.68,85.71,79.92,158.73,96.47,49.97,108.48,72.31,154.99,107.82,58.14,111.82
"228","ACTR3C",38.97,28.78,43.37,101.47,48.43,32.47,79.85,49.1,91.13,46.51,84.19,79.5
"229","ACTR5",246.69,170.4,206.82,314.37,153.98,123.78,330.57,147.76,368.95,249.99,243.48,293.42
"230","ACTR6",512,437.01,463.39,635,399,247.13,340.03,433.02,875,665.07,378.04,509.04
"231","ACTR8",495,325,325,361,379,250,360,323,496,350,288,451
"232","ACTRT1",0,0,0,0,0,0,0,0,0,0,0,0
"233","ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0
"234","ACTRT3",0,3,0,1,0,1,2,1,4,6,2,2
"235","ACVR1",565,259,301,373,421,223,239,217,495,490,208,384
"236","ACVR1B",1012,945,795,433,561,527,294,578,551,954,402,463
"237","ACVR1C",22,7,2,37,56,23,13,3,106,20,12,30
"238","ACVR2A",165.42,79.15,64.16,141.54,70.36,80.84,109.96,91.97,233.26,199.32,77.09,173.72
"239","ACVR2B",50.61,53.07,26.1,79.26,70.56,33.27,85.08,32.01,242.99,68.21,37.37,67.23
"240","ACVRL1",64,40,151.53,18.02,37.04,39.84,31,174.87,36.03,38,84,75
"241","ACY1",110,76,81,112,61,35,134,99,169.27,161,187,140
"242","ACY3",11,3,5,5,5,3,8,0,6,1,11,7
"243","ACYP1",88,77,123,190,54,37,102,94,146,85,75,101
"244","ACYP2",88.22,72.42,71.01,112,67.35,33.86,115.63,39,91.12,90.18,86,99.86
"245","ADA",795,423,476,558,259,111,489,574,738,576,574,461
"246","ADA2",6917.6,2375.55,6136.91,2145.88,3512.79,2796.9,4959.12,2235.81,4348.97,6062.97,3617.82,5085.76
"247","ADAD1",0,0,0,0,0,0,0,0,0,0,0,0
"248","ADAD2",0,0,0,0,0,0,0,0,0,0,0,1
"249","ADAL",81,44,66,90,62,30,57,48,143,75,62,81
"250","ADAM10",6506.65,4409.5,3399.8,3133.57,6399.02,6584.24,2386.27,3365.89,4364.72,5309.99,2786.12,4618.09
"251","ADAM11",6,3,0,7,2,6,2,0,11,4,9,17
"252","ADAM12",5,7,3,24,7,6,1,9,39,11,19,23
"253","ADAM15",2647,1336,973,773,701,844,1411,915,1223,2086,2102,1522
"254","ADAM17",1197.21,841.5,944.36,427.65,1553.71,1949.18,137.84,359.92,751.63,1131.46,334.64,704.7
"255","ADAM18",0,0,0,0,0,0,0,0,0,0,0,0
"256","ADAM19",2623,2752,2137,2681,3341,2665,1467,1549,2155,4123,842.03,2831
"257","ADAM2",0,0,0,0,0,0,0,0,0,0,0,0
"258","ADAM20",4,1,6,0,1,2,3,3,1,3,2,2
"259","ADAM21",0,0,0,2,0,0,2,1,3,2,1,1
"260","ADAM22",40,26,46,55,46,26,19,8,79,42,17,43
"261","ADAM23",7,6,6,33,5,23,20,3,63,7,13,39
"262","ADAM28",288,108,101,357,536,482,232,147,661,357,167.01,461
"263","ADAM29",0,1,1,2,0,14,1,0,2,0,0,1
"264","ADAM30",0,0,0,0,0,0,0,0,0,0,0,0
"265","ADAM32",0,4,0,0,0,1,0,0,0,0,3,0
"266","ADAM33",0,0,1,3,2,1,0,1,1,1,2,2
"267","ADAM7",0,0,0,0,0,0,0,0,0,0,0,0
"268","ADAM8",7718,8242,5773,7716,4192,5496,10175,8978,6739,12299,18583,7771
"269","ADAM9",1405,865,662,219,810,1152,146,549,519,1005,433,497
"270","ADAMDEC1",19,13,12,7,11,9,6,13,18,16,8,17
"271","ADAMTS1",173,27,100,129,13,4,28,55,36,35,20,36
"272","ADAMTS10",55,23,93,229,32,13,136,103,155,74,62,168
"273","ADAMTS12",0,0,1,0,2,0,1,0,0,0,0,0
"274","ADAMTS13",4,10,13,20,2,7,14,4,21,15,36,15
"275","ADAMTS14",4,4,17,5,1,0,2,3,1,3,5,1
"276","ADAMTS15",1,0,0,0,0,0,0,0,0,0,0,0
"277","ADAMTS16",0,0,0,0,0,0,0,0,0,0,0,0
"278","ADAMTS17",9.65,8.62,6.01,17.03,11.06,8.47,29.19,6,59.87,20.83,12,9.05
"279","ADAMTS18",0,0,0,0,0,0,0,0,0,0,0,0
"280","ADAMTS19",0,0,0,0,0,0,0,0,1,0,0,0
"281","ADAMTS2",1367.02,124,353,1,114,381.34,0,133.01,0,2,33.09,1.11
"282","ADAMTS20",0,0,0,0,0,0,0,0,0,0,0,0
"283","ADAMTS3",2,18,0,0,0,2,0,13,1,2,2,0
"284","ADAMTS4",19.96,20.05,17.01,37.51,23.68,23.52,31.28,40.92,37.6,19.73,33.1,29.02
"285","ADAMTS5",57,23,0,29,30,20,31,1,16,18,6,32
"286","ADAMTS6",3,1,15,24,11,18,7,0,46,7,2,7
"287","ADAMTS7",2,30,0,12,9,3,33,3,18,23,5,26
"288","ADAMTS8",3,0,1,0,0,1,0,0,3,0,6,4
"289","ADAMTS9",0,0,0,0,0,0,0,0,0,1,0,0
"290","ADAMTSL1",0,0,0,0,0,0,0,0,0,0,0,0
"291","ADAMTSL2",0,0,0,0,1.01,2.17,6.31,0,7,1.02,8.76,6.23
"292","ADAMTSL3",0,0,0,0,0,0,0,0,0,0,0,0
"293","ADAMTSL4",1549,900,1848,920,1234,1357,1161,1097,1216,1856,1700,1110
"294","ADAMTSL5",13.91,9.01,15,18,7,5.9,24,16,40,11,18.87,15.94
"295","ADAP1",1149,1340,1052,800,640,691,962,699,710,1535,1697,1113
"296","ADAP2",1479,606,799,320,532.07,401,557,629,603,1164,850,704
"297","ADAR",21091.08,15902,21665.25,11181.05,19066.82,18931.84,6685.86,11284.99,24846.03,22962.42,12478.12,13899.74
"298","ADARB1",325,316.23,417.33,391,313.79,158,491,210,618,388.26,277,479
"299","ADARB2",3.11,0,0,118,0,157.23,29,21,29,0,28.02,52.52
"300","ADAT1",673.63,384.88,380.88,469.51,530.56,845.5,330.62,348.12,859.63,593.85,350.74,570.77
"301","ADAT2",112.21,127.02,130.03,248.68,172,108.47,180.61,80.69,406.26,160.31,137.92,245.26
"302","ADAT3",3,1,4,2,0,0,1,6,3,0,18,9
"303","ADCK1",110.91,58,206.29,110,44.62,35.26,184,119.72,128.95,264.91,283,152.03
"304","ADCK2",300,217,266,300,122,78,396,254,473,476,386,403
"305","ADCK5",54,69,64,123,22,20,148,68,122,172,279,154
"306","ADCY1",3.74,1,4.9,2.16,3.96,3.46,2.06,5.02,0,0,2.01,2.01
"307","ADCY10",11,2,7,2,14,8,1,3,3,5,3,7
"308","ADCY2",0,0,0,0,1,0,1,0,0,2.53,0,0
"309","ADCY3",203.15,731.06,721.41,353.71,190.19,132.57,222.65,161.23,551.96,346.28,950.82,267.68
"310","ADCY4",454,312,300,162,160,233,155,281,167,277,303,231
"311","ADCY5",6,7,7,4,4,3,13,2,21,5,11,3
"312","ADCY6",45,6,4,37,14,7,4,27,17,9,8,15
"313","ADCY7",4017.51,1994.08,3259.07,1468.74,3476.86,3305.02,690.27,1243.69,3317.94,3505.79,1590.94,2730.91
"314","ADCY8",0,0,0,0,0,0,0,0,0,0,0,0
"315","ADCY9",216,70,168,82,132,93,94,55,115,176,77,214
"316","ADCYAP1",2,0,0,0,0,1,0,0,0,0,0,0
"317","ADCYAP1R1",0,0,0,0,0,1,0,0,0,0,0,0
"318","ADD1",6463,3877,3489,4338,4152,3752,3657,4074,5476,5815,4342,4786
"319","ADD2",75.32,28.46,16.94,76.93,47.13,34.37,111.93,105.24,139.56,118.06,83.37,113.65
"320","ADD3",7617,6742,4133,4751,9117,5851,2028,2696,9297,5964,2301,4985
"321","ADGB",1,1,0,0,0,0,0,0,0,0,2,1
"322","ADGRA1",0,0,0,0,0,0,0,0,0,0,0,0
"323","ADGRA2",44.87,19.59,88.75,31.44,64.11,38.48,70.88,31.96,47.54,100.46,89.14,148.74
"324","ADGRA3",37,14,4,73,15,8,21,7,42,26,9,40
"325","ADGRB1",10,2,12,15,7,5,9,11,18,8,19,22
"326","ADGRB2",12,4,13,24,1,1,11,3,12,13,3,16
"327","ADGRB3",1,1,0,2,1,8,0,1,0,3,0,3
"328","ADGRD1",173,19,9,27,27,33,49,10,59,81,17,125
"329","ADGRE1",3134,1954,1126,1089,1515,805,3092,4791,2574,3471,1997,768
"330","ADGRE2",10926.13,8041.49,4048.77,3199.59,6018.77,10074.46,4267.28,3372.62,2938.6,3588.31,1482.05,3852.93
"331","ADGRE3",2902.23,2037.53,774.71,2616.33,4048.03,4391.45,1394.51,1124.25,2238.58,4349.05,960.51,4433.57
